往事如风	56350	350	35005745	16316	251700	0	0	2017-05-20	
平凡人	54592	340	38208538	16264	415800	0	0	2017-05-20	
莫名	52934	330	35728388	17378	0	0	0	2017-05-20	
晴天	51522	320	34565912	26674	0	0	0	2017-05-20	
这些胖砸	38993	283	7681263	95037	212100	0	0	2017-05-20	
花儿红	45160	280	28996329	16321	0	0	0	2017-05-20	
有时很忙	51135	280	29918577	33003	817300	0	0	2017-05-20	
寂寞的小牛	43209	265	25777630	16676	25800	0	0	2017-05-20	
红霉素	39334	240	25355416	17860	0	0	0	2017-05-20	
子非鱼	35420	215	35282775	36373	0	0	0	2017-05-20	
九哥无敌	32246	200	22191847	17779	0	0	0	2017-05-20	
相遇秋天	32932	200	21290002	17874	0	0	0	2017-05-20	
清风袭人醉	29097	170	18156589	32143	205800	0	0	2017-05-20	
忆缘	26492	160	16117303	28805	0	0	0	2017-05-20	
明天	28398	160	10357318	21594	488800	2050	0	2017-05-20	
刀疤哥	38155	145	12217161	245708	246600	0	0	2017-05-20	
山路	26158	130	28801824	409322	0	0	0	2017-05-20	
正式三号	23950	120	25080009	382150	0	0	0	2017-05-20	
正式一号	22174	110	26053172	379076	0	0	0	2017-05-20	
正式五号	21342	110	27008103	387272	0	0	0	2017-05-20	
正式四号	21544	110	26181282	384961	0	0	0	2017-05-20	
有时候很忙的	17728	110	12331928	232046	0	0	0	2017-05-20	
有时候	17708	110	12327778	241535	0	0	0	2017-05-20	
正式二号	20318	100	24180772	360991	0	0	0	2017-05-20	
有时候很忙	16072	100	12180615	271734	0	0	0	2017-05-20	
恋丨怀	15174	90	8787913	17483	56700	0	0	2017-05-20	
狴犴光	15950	90	9259341	15978	0	0	0	2017-05-20	
忧伤	13646	70	1593512	307264	0	0	0	2017-05-20	
闲的蛋疼	11220	70	6331812	17879	0	0	0	2017-05-21	
天奕	11846	70	8128048	380	0	0	0	2017-05-21	
风蚀月1	8428	50	5724660	16446	0	0	0	2017-05-21	
专业	10498	50	2402421	1185722	0	0	0	2017-05-20	
人约黄昏后	10359	45	2670648	187092	0	0	0	2017-05-20	
天逸	6652	40	4788503	41199	0	0	0	2017-05-21	
最爱吟儿	9600	40	332499	296456	0	0	0	2017-05-20	
月上柳梢头	7569	20	1919615	70964	0	0	0	2017-05-20	
天亦	6981	20	165999	188298	0	0	0	2017-05-20	
风蚀月10	3216	20	2512244	16204	0	0	0	2017-05-21	
空空空儿	6379	20	2000646	48674	434100	0	0	2017-05-20	
青霉素	7900	10	349119	442194	0	0	0	2017-05-20	
不是小号6	4800	10	492629	356927	0	0	0	2017-05-20	
不是小号4	4800	10	573566	371119	0	0	0	2017-05-20	
不是小号5	4800	10	569735	375969	0	0	0	2017-05-20	
不是小号7	4800	10	538293	325370	0	0	0	2017-05-20	
漂泊无踪	2298	10	385246	221180	0	0	0	2017-05-20	
九哥练宠1	2400	10	195077	241003	0	0	0	2017-05-21	
九哥练宠2	2400	10	187745	226019	0	0	0	2017-05-21	
不是小号8	4800	10	595738	375737	0	0	0	2017-05-20	
不是小号2	2400	10	1537723	187648	0	0	0	2017-05-20	
