地藏兽	刀疤哥	1200	55.77	46210	20090	800	67100	0	
地藏兽	明天	1250	46.14	31796	26000	0	57796	0	
地藏兽	2级了	1250	37.66	16508	9905	20754	47169	0	
硬骨狒	不是小号5	1135	40.68	13408	24035	8785	46229	0	
黄金龙	不是小号6	1080	41.38	21926	11634	11186	44748	0	
匆匆	青霉素	1250	34.37	11200	19340	12467	43008	0	
地藏兽	无厘头	905	37.44	10870	7133	15965	33969	0	
地藏兽	kong	1250	24.68	10815	6489	13597	30903	0	
白发妖姬	不是小号8	1200	24.93	14677	8686	6590	29954	0	
白发妖姬	仓库	1200	24.92	14672	8682	6587	29942	0	
黄金龙	不是小号7	1087	27.31	15451	7726	6537	29714	0	
地藏兽	kong	1200	24.57	9448	7085	12991	29524	0	
小肉球	这些胖砸	1250	21.72	20499	6000	680	27179	0	
地藏兽	最爱吟儿	716	37.05	8518	5590	12510	26619	0	
★女金环Ⅰ	宠爱一生	1200	21.91	7642	10787	7893	26323	0	
小金龙	天亦	1200	21.00	14125	5803	5298	25227	0	
绿衣仙子	晴天小跟班5	1200	20.62	7187	8422	9172	24782	0	
白发妖姬	天亦	602	34.69	10267	5448	5237	20954	0	
霓裳	寂寞的小妞	1200	16.64	6598	6798	6597	19994	0	
霓裳	小9	1200	16.46	6526	7317	5933	19776	0	
白发妖姬	秋天A	1200	15.66	9221	5456	4140	18818	0	
白发妖姬	专业	1200	15.62	9195	5441	4128	18765	0	
白发妖姬	脚本试验人物	1200	15.61	9190	5438	4126	18756	0	
白发妖姬	秋天A	1200	15.57	9728	4864	4116	18709	0	
地藏兽	寂寞的小妞	1200	15.50	6520	3912	8197	18630	0	
白发妖姬	bin37285	1200	15.47	9106	4832	4645	18584	0	
白发妖姬	bin37282	1200	15.39	9616	4809	4069	18495	0	
白发妖姬	bin37283	1200	15.37	9047	4800	4615	18463	0	
白发妖姬	bin37281	1200	15.36	9046	4800	4614	18460	0	
白发妖姬	第三世界	1250	14.69	9013	5333	4047	18394	0	
地藏兽	漂泊无踪	1200	15.31	5885	3862	8642	18389	0	
白发妖姬	阳光彩	458	37.88	8530	5048	3830	17409	0	
纹地龙	月上柳梢头	1250	13.68	7876	5817	3424	17117	0	
纹地龙	天亦	1200	13.66	7552	3776	5086	16415	0	
纹地龙	白霉素	1200	13.59	9303	3755	3265	16324	0	
苦行龟	风蚀月1	1300	12.53	7800	7690	800	16290	0	
苦行龟	楚瑜	1300	12.09	4562	6449	4717	15730	0	
苦行龟	相遇秋天	1300	11.93	7000	7718	800	15518	0	
穿林兽	恭	1190	12.98	4488	6336	4636	15461	0	
苦行龟	空空空儿	1300	11.84	7865	6730	800	15395	0	
苦行龟	切切切	1304	11.74	7484	7019	814	15319	0	
苦行龟	刀疤哥	1300	11.73	7000	7451	800	15251	0	
瞬地龙	这些胖砸	1200	12.67	7001	2741	5482	15225	0	
绿衣仙子	晴天小跟班5	1200	12.66	4410	5622	5174	15208	0	
苦行龟	九哥练宠1	1300	11.69	4410	6235	4560	15206	0	
绿衣仙子	忧伤	1200	12.65	4407	5619	5171	15198	0	
苦行龟	秋天A	1300	11.68	6339	8048	800	15187	0	
苦行龟	九哥练宠2	1300	11.67	6224	6227	2733	15185	0	
小猪天天	寂寞的小妞	1200	12.62	4550	3943	6672	15166	0	
苦行龟	恋丨怀	1300	11.62	6196	7818	1100	15114	0	
苦行龟	子非鱼	1300	11.58	4367	6173	4516	15057	0	
黄龙使	脚本试验人物	1200	12.50	7811	3906	3305	15023	0	
苦行龟	原方	1300	11.52	4346	7939	2697	14983	0	
苦行龟	梅霞	1300	11.51	4343	7937	2696	14977	0	
苦行龟	刘亦菲	1300	11.49	6128	6131	2691	14950	0	
苦行龟	清风袭人醉	1300	11.43	8068	6000	800	14868	0	
苦行龟	水灵	1300	11.43	6092	6095	2676	14864	0	
苦行龟	忆缘	1300	11.42	7000	7000	849	14849	0	
苦行龟	红霉素	1300	11.38	4293	9708	800	14801	0	
苦行龟	九哥无敌	1300	11.38	6057	7843	899	14799	0	
