花儿红	2080	4200	2772	0	0	3104	0	0	0	0	12156
平凡人	2110	4168	2087	0	0	1806	0	0	0	0	10171
有时很忙	1259	1066	2581	0	0	3110	0	0	0	0	8016
狴犴光	645	2008	0	0	0	2646	0	0	0	0	5299
明天	231	1644	2087	0	0	1336	0	0	0	0	5298
往事如风	213	574	2201	0	0	1768	0	0	0	0	4756
忆缘	618	630	2229	0	0	634	0	0	0	0	4111
天逸	966	1406	0	0	0	1626	0	0	0	0	3998
天亦	483	1812	0	0	0	1612	0	0	0	0	3907
清风袭人醉	225	924	2087	0	0	566	0	0	0	0	3802
莫名	369	1518	0	0	0	246	0	0	0	0	2133
淘宝	243	1540	0	0	0	0	0	0	0	0	1783
八月	0	1248	0	0	0	0	0	0	0	0	1248
腾讯	0	1216	0	0	0	0	0	0	0	0	1216
漂泊无踪	0	306	0	0	0	890	0	0	0	0	1196
刀疤哥	225	322	0	0	0	638	0	0	0	0	1185
最爱吟儿	0	334	0	0	0	598	0	0	0	0	932
寂寞的小牛	135	318	0	0	0	0	0	0	0	0	453
这些胖砸	0	304	0	0	0	106	0	0	0	0	410
